SOURCE_FEA,EVENTTYPE,STATION_NM,STATE,LON_SITE,LAT_SITE
13106650,StreamGage,HOUSE CREEK NR ROSEWORTH ID,ID,-114.98677222,42.16278889
14375100,StreamGage,"SUCKER CR BL LT GRAYBACK CR NR HOLLAND,OREG.",OR,-123.47895094,42.15956105
10406500,StreamGage,"TROUT CREEK NEAR DENIO,NEV.",OR,-118.45933743,42.15545066
14362250,StreamGage,"STAR GULCH NEAR RUCH, OR.",OR,-123.07532304,42.15401355
14353500,StreamGage,"EAST FORK ASHLAND CREEK NEAR ASHLAND, OR",OR,-122.70947643,42.15263231
13163000,StreamGage,SHEEP CREEK NR TINDALL ID,ID,-115.77961667,42.14985
14375000,StreamGage,"SUCKER CREEK NEAR HOLLAND, OREG.",OR,-123.46783935,42.14983913
13162000,StreamGage,BRUNEAU RIVER NR TINDALL ID,ID,-115.67045833,42.14561944
13076400,StreamGage,MICHAUD CANAL AT AMERICAN FALLS ID,ID,-112.87274444,42.77782778
14353000,StreamGage,"WEST FORK ASHLAND CREEK NEAR ASHLAND, OR",OR,-122.71669885,42.14874336
10368500,StreamGage,"DEEP CR AT BIG VLY NR LAKEVIEW,OREG.",OR,-120.13439705,42.13321974
14308500,StreamGage,"ELK CREEK NR DREW, OR",OR,-122.91783026,42.89012159
14308990,StreamGage,"COW CREEK ABV GALESVILLE RES, NR AZALEA, OR.",OR,-123.12589217,42.82317665
13082500,StreamGage,GOOSE CREEK AB TRAPPER CREEK NR OAKLEY ID,ID,-113.93555556,42.12611111
14400000,StreamGage,"CHETCO RIVER NEAR BROOKINGS, OR",OR,-124.1873107,42.12344278
13166500,StreamGage,DEADWOOD CREEK NR THREE CREEK ID,ID,-115.09801389,42.11798056
13107500,StreamGage,DEVIL CREEK NR THREE CREEK ID,ID,-115.03527778,42.11370556
14373500,StreamGage,"ALTHOUSE CREEK NEAR HOLLAND,OREG.",OR,-123.52617438,42.09983838
13165500,StreamGage,THREE CREEK NR THREE CREEK ID,ID,-115.16176944,42.08670556
10366000,StreamGage,"TWENTYMILE CREEK NEAR ADEL,OREG.",OR,-119.96272481,42.07211128
13166000,StreamGage,CHERRY CREEK NR THREE CREEK ID,ID,-115.1899,42.07213333
13078205,StreamGage,RAFT RIVER BL ONEMILE CREEK NR MALTA ID,ID,-113.44456111,42.07043056
10366500,StreamGage,"DEEP CR AB DISMAL CR NR WARNER LAKE,OREG.",OR,-120.15106357,42.06655402
14372500,StreamGage,"E F ILLINOIS RIVER NEAR TAKILMA,OREG.",OR,-123.62617776,42.06928109
10367500,StreamGage,"DISMAL CREEK NEAR WARNER LAKE,OREG.",OR,-120.13439641,42.06655418
13078000,StreamGage,RAFT RIVER AB ONEMILE CREEK NR MALTA ID,ID,-113.45138889,42.06361111
14362000,StreamGage,"APPLEGATE RIVER NEAR COPPER, OR",OR,-123.11143576,42.0637361
14376500,StreamGage,"W FK ILLINOIS R NR OBRIEN,OREG.",OR,-123.71784771,42.06372377
14361900,StreamGage,"APPLEGATE LAKE NEAR COPPER, OR.",OR,-123.10949121,42.05679178
13165000,StreamGage,BIG FLAT CREEK NR THREE CREEK ID,ID,-115.21754722,42.04955833
14375500,StreamGage,"W FK ILLINOIS R BL ROCK CR NR OBRIEN,OREG.",OR,-123.74840426,42.0387233
13162500,StreamGage,EF JARBIDGE RIVER NR THREE CREEK ID,ID,-115.36860833,42.032775
14375400,StreamGage,"ELK CREEK NEAR OBRIEN,OREG.",OR,-123.73784829,42.03150132
14361700,StreamGage,"CARBERRY CREEK NEAR COPPER, OREG.",OR,-123.17060512,42.02595759
14361590,StreamGage,"MIDDLE FORK APPLEGATE RIVER NEAR COPPER, OR.",CA,-123.15754893,42.00623585
14361600,StreamGage,"ELLIOTT CREEK NEAR COPPER, OREG.",CA,-123.15115974,42.00429156
13079000,StreamGage,"CLEAR CREEK NEAR NAF, IDAHO",UT,-113.28666337,41.96686237
13104000,StreamGage,SHOSHONE CREEK NR SAN JACINTO NV,NV,-114.62958611,41.95705278
13105000,StreamGage,SALMON FALLS CREEK NR SAN JACINTO NV,NV,-114.68861111,41.94472222
13161500,StreamGage,BRUNEAU RIVER AT ROWLAND NV,NV,-115.67452681,41.93323682
13176000,StreamGage,OWYHEE RIVER AB CHINA DIVERSION DAM NR OWYHEE NV,NV,-116.06955833,41.92110833
13175500,StreamGage,"OWYHEE R NR OWYHEE, NV",NV,-116.03061111,41.87451944
13162225,StreamGage,"JARBIDGE RIVER BELOW JARBIDGE, NV",NV,-115.42868156,41.89046143
13077700,StreamGage,"GEORGE CREEK NEAR YOST, UTAH",UT,-113.48166914,41.91852913
13177000,StreamGage,"JACK C NR TUSCARORA, NV",NV,-116.10229722,41.49132778
13177200,StreamGage,"S F OWYHEE R AT SPANISH RANCH NR TUSCARORA, NV",NV,-116.17870169,41.42768349
13177500,StreamGage,S FK OWYHEE R NR DEEP C NV,NV,-116.38426444,41.49990282
14335075,StreamGage,"ROGUE RIVER AT MCLEOD,OREG.",OR,-122.69281794,42.65957046
13176900,StreamGage,"JACK C BL SCHOONOVER C NR TUSCARORA, NV",NV,-116.07314442,41.50823919
13174000,StreamGage,"WILD HORSE RE NR GOLD CREEK, NV",NV,-115.84452886,41.68740542
13174500,StreamGage,"OWYHEE R NR GOLD CREEK, NV",NV,-115.84480667,41.68879428
13097500,StreamGage,LOWER VINEYARD DITCH NR CONTACT NV,NV,-114.83939167,41.70053333
10361700,StreamGage,"BADGER C TR NR VYA, NV",NV,-119.37325836,41.72211629
13096000,StreamGage,SALMON FALLS CR AB UPR VINEYARD DTCH NR CONTACT NV,NV,-114.87208056,41.73228056
14330000,StreamGage,"ROGUE RIVER BELOW PROSPECT, OR",OR,-122.51642477,42.73040519
14348000,StreamGage,LITTLE BUTTE CR BL EAGLE POINT OREG,OR,-122.81504008,42.46095908
13095500,StreamGage,BOX CANYON SPRINGS NR WENDELL ID,ID,-114.81027778,42.7075
13177800,StreamGage,"S F OWYHEE R NR WHITEROCK, NV",NV,-116.48427276,41.79989765
13164500,StreamGage,LOUSE CREEK NR WICKAHONEY ID,ID,-115.82059722,42.44232222
13174900,StreamGage,"OWYHEE R AT PATSVILLE, NV",NV,-115.95647968,41.80962549
13175000,StreamGage,"OWYHEE R AT MOUNTAIN CITY, NV",NV,-115.96584444,41.83613333
13175100,StreamGage,"OWYHEE R NR MOUNTAIN CITY, NV",NV,-115.98925969,41.86045831
13088000,StreamGage,SNAKE RIVER AT MILNER ID  (TOTAL FLOW),ID,-114.01863856,42.52796709
13086500,StreamGage,GOODING CANAL AT MILNER ID,ID,-114.00973611,42.52746389
13168500,StreamGage,BRUNEAU RIVER NR HOT SPRING ID,ID,-115.72027778,42.77111111
13135000,StreamGage,SNAKE RIVER BL LOWER SALMON FALLS NR HAGERMAN ID,ID,-114.9014473,42.84851319
13077500,StreamGage,ROCK CREEK NR ROCKLAND ID,ID,-112.86193357,42.52769181
13087900,StreamGage,MILNER LAKE AT MILNER DAM ID,ID,-114.01347222,42.52297222
14339000,StreamGage,"ROGUE RIVER AT DODGE BRIDGE, NEAR EAGLE POINT, OR",OR,-122.84282026,42.52484711
14337500,StreamGage,"BIG BUTTE CREEK NEAR MCLEOD,OREG.",OR,-122.69142882,42.6512372
14324700,StreamGage,"SOUTH FORK COQUILLE RIVER NEAR ILLAHE,OREG.",OR,-124.01231293,42.72483261
13076000,StreamGage,BANNOCK CREEK BL MOONSHINE CREEK NR PAULINE ID,ID,-112.59526095,42.69435786
14330500,StreamGage,S FK ROGUE R AB IMNAHA CR NR PROSPECT OREG.,OR,-122.38447564,42.69985124
13082320,StreamGage,MARSH CREEK NR DECLO ID,ID,-113.6480659,42.52490939
13152500,StreamGage,MALAD RIVER NR GOODING ID,ID,-114.80305556,42.88638889
13070300,StreamGage,PORTNEUF RES NR CHESTERFIELD ID,ID,-111.94431389,42.87751667
13063500,StreamGage,LITTLE BLACKFOOT RIVER AT HENRY ID,ID,-111.52994705,42.90825249
14332000,StreamGage,"SOUTH FORK ROGUE RIVER NEAR PROSPECT, OREG.",OR,-122.39280939,42.7081844
130875049,StreamGage,LOWER MILNER POWER PLANT PIPE 2 AT MILNER ID,ID,-114.03030535,42.52463396
13134000,StreamGage,RILEY CREEK BL LEWIS SPRING NR HAGERMAN ID,ID,-114.86083056,42.76342222
13169000,StreamGage,BUCKAROO DITCH AT HOT SPRINGS NR BRUNEAU ID,ID,-115.71847778,42.79148889
13073500,StreamGage,PORTNEUF RIVER AT MCCAMMON ID,ID,-112.19294444,42.65761389
13077000,StreamGage,SNAKE RIVER AT NEELEY ID,ID,-112.87944444,42.7675
13168000,StreamGage,BRUNEAU RIVER NR WINTER CAMP RANCH ID,ID,-115.70116667,42.65083889
13091733,StreamGage,JEROME GOLF COURSE DRAIN NR JEROME ID,ID,-114.51761667,42.63397222
130875048,StreamGage,LOWER MILNER POWER PLANT PIPE 1 AT MILNER ID,ID,-114.03030535,42.52463396
14329500,StreamGage,"MILL CREEK NEAR PROSPECT,OREG.",OR,-122.48447976,42.74984972
13082060,StreamGage,F-DRAIN NR DECLO ID,ID,-113.628343,42.54685375
14335500,StreamGage,"SOUTH FORK BIG BUTTE CR NR BUTTE FALLS,OREG.",OR,-122.55531049,42.54012894
14333500,StreamGage,"RED BLANKET CREEK NEAR PROSPECT, OREG.",OR,-122.42753409,42.77762758
10386000,StreamGage,"CHEWAUCAN R AT NARROWS NR PAISLEY,OREG.",OR,-120.41774437,42.61654305
14325000,StreamGage,"SOUTH FORK COQUILLE RIVER AT POWERS, OR",OR,-124.07065212,42.89149904
13076110,StreamGage,BANNOCK CREEK BL RATTLESNAKE CREEK NR ARBON ID,ID,-112.60220579,42.70130223
13085800,StreamGage,P A LATERAL NR MILNER ID,ID,-113.97278611,42.53443611
13085500,StreamGage,MINIDOKA NORTH SIDE PUMP CANAL NR BURLEY ID,ID,-113.94780242,42.53352189
13087500,StreamGage,SOUTH SIDE TWIN FALLS CANAL AT MILNER ID,ID,-114.01724968,42.52185605
13087000,StreamGage,NORTH SIDE TWIN FALLS CANAL AT MILNER ID,ID,-114.02058302,42.52963376
13087995,StreamGage,SNAKE RIVER GAGING STATION AT MILNER ID,ID,-114.01833333,42.52805556
13134500,StreamGage,SNAKE RIVER NR HAGERMAN ID,ID,-114.88635556,42.76425556
10384100,StreamGage,"CHEWAUCAN RIVER AT PAISLEY,OREG.",OR,-120.55108298,42.6998744
13026000,StreamGage,"Stump Creek near Auburn, WY",ID,-111.05354325,42.78326032
14335200,StreamGage,"SO FK BIG BUTTE CR AB WILLOW CR NR B FLS,OREG.",OR,-122.48586335,42.52068572
14324900,StreamGage,SF COQUILLE R NR POWERS OREG,OR,-124.041482,42.78455488
14337870,StreamGage,"WEST BRANCH ELK CREEK NEAR TRAIL,OREG.",OR,-122.74976547,42.7109584
13070500,StreamGage,PORTNEUF DIV CHANNEL NR CHESTERFIELD ID,ID,-111.94107123,42.87352873
10396000,StreamGage,DONNER UND BLITZEN RIVER NR FRENCHGLEN OR,OR,-118.8675,42.79083333
13153000,StreamGage,KING HILL CANAL NR HAGERMAN ID,ID,-114.90899444,42.86734722
13093500,StreamGage,CEDAR DRAW NR FILER (OLD STATION),ID,-114.65428333,42.62318889
13134556,StreamGage,N CHANNEL SNAKE R @ UPPER SALMON FALLS NR HAGERMAN,ID,-114.90382778,42.76945
13095360,StreamGage,S-COULEE NR WENDELL ID,ID,-114.80533081,42.69601457
13095175,StreamGage,BRIGGS SP AT HD NR BUHL ID  09S 14E 03CBB1S,ID,-114.80916667,42.67388889
13081000,StreamGage,LAKE WALCOTT NR MINIDOKA ID,ID,-113.48417108,42.67074186
13090999,StreamGage,BLUE LAKES SPRING BL PUMP PLANT NR TWIN FALLS ID,ID,-114.46833333,42.61472222
13091000,StreamGage,BLUE LAKES SPRING NR TWIN FALLS ID 09S 17E 28DBA1S,ID,-114.46920545,42.61463201
13073000,StreamGage,PORTNEUF RIVER AT TOPAZ ID,ID,-112.08805556,42.62555556
